Time,Velocity
0.0,0.0
4e-05,0.3003003003003003
8e-05,0.6006006006006006
0.00012,0.9009009009009009
0.00016,1.2012012012012012
0.0002,1.5015015015015014
0.00024,1.8018018018018018
0.00028,2.1021021021021022
0.00032,2.4024024024024024
0.00036,2.7027027027027026
0.0004,3.003003003003003
0.00044,3.3033033033033035
0.00048,3.6036036036036037
0.00052,3.903903903903904
0.00056,4.2042042042042045
0.0006,4.504504504504505
0.00064,4.804804804804805
0.00068,5.105105105105105
0.00072,5.405405405405405
0.00076,5.7057057057057055
0.0008,6.006006006006006
0.00084,6.306306306306307
0.00088,6.606606606606607
0.00092,6.906906906906907
0.00096,7.207207207207207
0.001,7.5075075075075075
0.00104,7.807807807807808
0.00108,8.108108108108109
0.00112,8.408408408408409
0.00116,8.70870870870871
0.0012,9.00900900900901
0.00124,9.30930930930931
0.00128,9.60960960960961
0.00132,9.90990990990991
0.00136,10.21021021021021
0.0014,10.51051051051051
0.00144,10.81081081081081
0.00148,11.11111111111111
0.00152,11.411411411411411
0.00156,11.711711711711711
0.0016,12.012012012012011
0.00164,12.312312312312313
0.00168,12.612612612612613
0.00172,12.912912912912914
0.00176,13.213213213213214
0.0018,13.513513513513514
0.00184,13.813813813813814
0.00188,14.114114114114114
0.00192,14.414414414414415
0.00196,14.714714714714715
0.002,15.015015015015015
0.00204,15.315315315315315
0.00208,15.615615615615615
0.00212,15.915915915915916
0.00216,16.216216216216218
0.0022,16.516516516516518
0.00224,16.816816816816818
0.00228,17.117117117117118
0.00232,17.41741741741742
0.00236,17.71771771771772
0.0024,18.01801801801802
0.00244,18.31831831831832
0.00248,18.61861861861862
0.00252,18.91891891891892
0.00256,19.21921921921922
0.0026,19.51951951951952
0.00264,19.81981981981982
0.00268,20.12012012012012
0.00272,20.42042042042042
0.00276,20.72072072072072
0.0028,21.02102102102102
0.00284,21.32132132132132
0.00288,21.62162162162162
0.00292,21.92192192192192
0.00296,22.22222222222222
0.003,22.52252252252252
0.00304,22.822822822822822
0.00308,23.123123123123122
0.00312,23.423423423423422
0.00316,23.723723723723722
0.0032,24.024024024024023
0.00324,24.324324324324326
0.00328,24.624624624624627
0.00332,24.924924924924927
0.00336,25.225225225225227
0.0034,25.525525525525527
0.00344,25.825825825825827
0.00348,26.126126126126128
0.00352,26.426426426426428
0.00356,26.726726726726728
0.0036,27.027027027027028
0.00364,27.32732732732733
0.00368,27.62762762762763
0.00372,27.92792792792793
0.00376,28.22822822822823
0.0038,28.52852852852853
0.00384,28.82882882882883
0.00388,29.12912912912913
0.00392,29.42942942942943
0.00396,29.72972972972973
0.004,30.03003003003003
0.00404,30.33033033033033
0.00408,30.63063063063063
0.00412,30.93093093093093
0.00416,31.23123123123123
0.0042,31.53153153153153
0.00424,31.83183183183183
0.00428,32.132132132132135
0.00432,32.432432432432435
0.00436,32.732732732732735
0.0044,33.033033033033036
0.00444,33.333333333333336
0.00448,33.633633633633636
0.00452,33.933933933933936
0.00456,34.234234234234236
0.0046,34.53453453453454
0.00464,34.83483483483484
0.00468,35.13513513513514
0.00472,35.43543543543544
0.00476,35.73573573573574
0.0048,36.03603603603604
0.00484,36.33633633633634
0.00488,36.63663663663664
0.00492,36.93693693693694
0.00496,37.23723723723724
0.005,37.53753753753754
0.00504,37.83783783783784
0.00508,38.13813813813814
0.00512,38.43843843843844
0.00516,38.73873873873874
0.0052,39.03903903903904
0.00524,39.33933933933934
0.00528,39.63963963963964
0.00532,39.93993993993994
0.00536,40.24024024024024
0.0054,40.54054054054054
0.00544,40.84084084084084
0.00548,41.14114114114114
0.00552,41.44144144144144
0.00556,41.74174174174174
0.0056,42.04204204204204
0.00564,42.34234234234234
0.00568,42.64264264264264
0.00572,42.94294294294294
0.00576,43.24324324324324
0.0058,43.54354354354354
0.00584,43.84384384384384
0.00588,44.14414414414414
0.00592,44.44444444444444
0.00596,44.74474474474474
0.006,45.04504504504504
0.00604,45.34534534534534
0.00608,45.645645645645644
0.00612,45.945945945945944
0.00616,46.246246246246244
0.0062,46.546546546546544
0.00624,46.846846846846844
0.00628,47.147147147147145
0.00632,47.447447447447445
0.00636,47.747747747747745
0.0064,48.048048048048045
0.00644,48.34834834834835
0.00648,48.64864864864865
0.00652,48.94894894894895
0.00656,49.24924924924925
0.0066,49.54954954954955
0.00664,49.84984984984985
0.00668,50.150150150150154
0.00672,50.450450450450454
0.00676,50.750750750750754
0.0068,51.051051051051054
0.00684,51.351351351351354
0.00688,51.651651651651655
0.00692,51.951951951951955
0.00696,52.252252252252255
0.007,52.552552552552555
0.00704,52.852852852852855
0.00708,53.153153153153156
0.00712,53.453453453453456
0.00716,53.753753753753756
0.0072,54.054054054054056
0.00724,54.354354354354356
0.00728,54.65465465465466
0.00732,54.95495495495496
0.00736,55.25525525525526
0.0074,55.55555555555556
0.00744,55.85585585585586
0.00748,56.15615615615616
0.00752,56.45645645645646
0.00756,56.75675675675676
0.0076,57.05705705705706
0.00764,57.35735735735736
0.00768,57.65765765765766
0.00772,57.95795795795796
0.00776,58.25825825825826
0.0078,58.55855855855856
0.00784,58.85885885885886
0.00788,59.15915915915916
0.00792,59.45945945945946
0.00796,59.75975975975976
0.008,60.06006006006006
0.00804,60.36036036036036
0.00808,60.66066066066066
0.00812,60.96096096096096
0.00816,61.26126126126126
0.0082,61.56156156156156
0.00824,61.86186186186186
0.00828,62.16216216216216
0.00832,62.46246246246246
0.00836,62.76276276276276
0.0084,63.06306306306306
0.00844,63.36336336336336
0.00848,63.66366366366366
0.00852,63.96396396396396
